"","0hrs","1hrs","2hrs","3hrs"
"6",0.555048734172961,0.2748325465149,0.327563315679425,0.277970199983516
"13.5",0.278252220097148,0.0179288181152355,0.193663960848998,0.590169485924499
"21",0.783191791387746,0.203373184756513,0.487501169252672,0.469619856077306
"28.5",0.764305773234138,0.334904343231556,0.508319813643628,0.58480094925121
"36",0.771452019960494,0.583175974463908,0.765369481789438,0.582416750313271
