"","0hrs","1hrs","2hrs","3hrs"
"6",0.539016124254591,0.343181680195078,0.42308319660211,-0.0516414250198161
"13.5",0.535303799967681,0.00413751538310782,0.464501160950887,0.885000032186507
"21",0.885597623605281,0.0962313258129614,0.585294091841206,0.801935395598411
"28.5",0.518399079640707,0.383231848139654,0.74401943579964,1.68653374910355
"36",0.725703792157584,0.663268910513984,1.02468309054772,1.18255623877049
